did,handle,reason
did:plc:mcb6n67plnrlx4lg35natk2b,nowbreezing.ntw.app,"Usually contains NSFW keywords in alt texts\, also too many keywords make it hard to find matching words manually"
did:plc:om2ttmoe5t7py2jqiii5mvj3,bbcradio1xtrabot.bsky.social,"Sometimes posts a song called \"Where Love Lives\""
did:plc:pij4o4mdigys6maqfrkg3yha,solidents.bsky.social,"Posts about unrelated rock music concert named Official Love Live Festival"
did:plc:xgqcuctacjwf2ve36egxkl4w,radicallovelive.bsky.social,"Religious podcast not related to the anime series"
did:plc:fvxadjtvukbhdaslbiih3r2p,arxiv-cs-cv.bsky.social,"Some posts mention an IRL researcher named Keke Tang"
did:plc:g4ejbuyzeirjfkdmfctazzno,jaya2004khare.bsky.social,"Posts links to laughlovelivelife7777.wordpress.com"
did:plc:yux4uerluhc7swy5cmqteuxv,colofultn1.bsky.social,"Seiyuu photo book bot"
did:plc:5ofr7negc5ha4hwd3grr77f4,nomoths.bsky.social,"NSFW moth OC named Liella\, completely unrelated to LoveLive! Superstar!!"
did:plc:zrcclhtshqswraypjdpw67i7,fantasystudio.bsky.social,"Pr0n streaming links"
did:plc:tvtcyo4bl2f42622mj6tvkwe,darlin02.bsky.social,"Some Japanese sex salon with an IRL Minami Kotori"
did:plc:nkied26dricqnrasgwae7kb6,rec.macchatea.net,"DVR recording log bot"
did:plc:vcndxpp6qe42afcrmaitt5sd,tdr-now.bsky.social,"Bot that republishes 𝕏/Twitter posts with the hashtag #TDR_now"
